章节,章节名称,命令,命令标题,命令类型,命令格式,响应,响应校正,示例命令,功能描述,备注,表数量,顺序,参数,参数json
1,Basic Commands,ATI,Get Module Manufacturer Information,Execute,ATI,<CR><LF>OK<CR><LF>,"<CR><LF><manufacturer>
<CR><LF><module_version>
<CR><LF><soft_version>
<CR><LF>OK<CR><LF>","ATI

OK","Get module manufacturer information, including manufacturer, model, and version.
Command Format",Example 1,1,1,"- `<manufacturer>`: Module manufacturer information, product name, version number

- `<module_version>`: Module model

- `<soft_version>`: Module software version","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+GMR,Query Version Information,Execute,AT+GMR,<CR><LF>OK<CR><LF>,"<CR><LF>+GMR: <reversion>
<CR><LF>OK<CR><LF>","AT+CSMS=1

+CSMS: 1,1,1
OK","Query software version information.
Command Format",Example 2,1,2,- `<reversion>`: Module software version information,"{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CSQ,Get Signal Strength,Execute,AT+CSQ,<CR><LF>OK<CR><LF>,,"AT+CSQ

OK","Query received signal strength <rssi>.
Command Format",Example 3,1,3,"- `<signal>`: The following is the correspondence between signal (CSQ) and rssi:
  - `0`: <4 or 99 | <-107 dBm or unknown
  - `1`: <10 | <-93dBm
  - `2`: <16 | <-81 dBm
  - `3`: <22 | <-69dBm
  - `4`: <28 | <-57dBm
  - `5`: >=28 | >=-57 dBm

- `<ber>`: —
  - `99`: Bit error rate cannot be measured","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CREG,Query Network Registration Status,Execute,AT+CREG,<CR><LF>OK<CR><LF>,,"AT+CREG

OK","Query the current network registration status of the module.
Command Format",See Example 4,1,4,"- `<n>`: 0: Disable active result code provision for network registration (default setting)
1: Allow active result code provision for network registration
2: Allow active location information provision (CELL ID, LOCAL ID).
  - `0`: Disable active result code provision for network registration (default setting)
  - `1`: Allow active result code provision for network registration
  - `2`: Allow active location information provision (CELL ID, LOCAL ID).

- `<stat>`: 0: Not registered, the terminal is not currently searching for a new operator
1: Registered to the local network
2: Not registered, the terminal is searching for a base station
3: Registration denied
4: Unknown code
5: Registered, in roaming state
6: ltesms only home
7: ltesms only roaming
8: EMER SVCE ONLY
9: CSFB NOT PREFER HOME
10: CSFB NOT PREFER ROAMING
  - `0`: Not registered
  - `1`: Registered to the local network
  - `2`: Not registered
  - `3`: Registration denied
  - `4`: Unknown code
  - `5`: Registered
  - `6`: ltesms only home
  - `7`: ltesms only roaming
  - `8`: EMER SVCE ONLY
  - `9`: CSFB NOT PREFER HOME
  - `10`: CSFB NOT PREFER ROAMING

- `<lac>`: String type, 2-byte hexadecimal location area code

- `<ci>`: String type, 2-byte hexadecimal cell ID

- `<Act>`: 0: GSM
1: GSM compact
2: UTRAN
3: GSM w/EGPRS
4: UTRAN w/HSDPA
5: UTRAN w/HSUPA
6: UTRAN w/HSDPA AND w/HSUPA
7: E-UTRAN
8: UTRAN w/HSPA+
  - `0`: GSM
  - `1`: GSM compact
  - `2`: UTRAN
  - `3`: GSM w/EGPRS
  - `4`: UTRAN w/HSDPA
  - `5`: UTRAN w/HSUPA
  - `6`: UTRAN w/HSDPA AND w/HSUPA
  - `7`: E-UTRAN
  - `8`: UTRAN w/HSPA+","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CEREG,Get EPS Network Registration Status,Execute,AT+CEREG,<CR><LF>OK<CR><LF>,,"AT+CEREG

OK","Query EPS network registration status.
Command Format",See Example 5,1,5,"- `<n>`: 0: Disable active result code provision for network registration (default setting)
1: Allow active result code provision for network registration
2: Allow active location information provision (CELL ID, LOCAL ID)
4: Allow active provision of Active-Time and Periodic-TAU
  - `0`: Disable active result code provision for network registration (default setting)
  - `1`: Allow active result code provision for network registration
  - `2`: Allow active location information provision (CELL ID, LOCAL ID)
  - `4`: Allow active provision of Active-Time and Periodic-TAU

- `<stat>`: 0: Not registered, the terminal is not currently searching for a new operator
1: Registered to the local network
2: Not registered, the terminal is searching for a base station
3: Registration denied
4: Unknown code
5: Registered, in roaming state
  - `0`: Not registered
  - `1`: Registered to the local network
  - `2`: Not registered
  - `3`: Registration denied
  - `4`: Unknown code
  - `5`: Registered

- `<tac>`: String type, 2-byte hexadecimal location area code

- `<ci>`: String type, 2-byte hexadecimal cell ID

- `<Act>`: 0: GSM
1: GSM compact
2: UTRAN
3: GSM w/EGPRS
4: UTRAN w/HSDPA
5: UTRAN w/HSUPA
6: UTRAN w/HSDPA and HSUPA
7: E-UTRAN
  - `0`: GSM
  - `1`: GSM compact
  - `2`: UTRAN
  - `3`: GSM w/EGPRS
  - `4`: UTRAN w/HSDPA
  - `5`: UTRAN w/HSUPA
  - `6`: UTRAN w/HSDPA and HSUPA
  - `7`: E-UTRAN","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+COPS,Network Selection,Execute,AT+COPS,<CR><LF>OK<CR><LF>,,"AT+COPS

OK","Query network.
Command Format",See Example 6,1,6,"- `<mode>`: Used to set automatic network selection or manual network selection.
0: Automatic network selection (ignore parameter <oper>)
1: Manual network selection
2: Deregister from the network
3: Set <format> only
4: First manually select the network, then automatically select the network (if manual selection fails, it will enter automatic selection)
  - `0`: Automatic network selection (ignore parameter <oper>)
  - `1`: Manual network selection
  - `2`: Deregister from the network
  - `3`: Set <format> only
  - `4`: First manually select the network, then automatically select the network (if manual selection fails

- `<format>`: 0: Long alphanumeric <oper> (default setting)
1: Short format alphanumeric <oper>
2: Numeric <oper>
  - `0`: Long alphanumeric <oper> (default setting)
  - `1`: Short format alphanumeric <oper>
  - `2`: Numeric <oper>

- `<oper>`: Assigned in <format>, can be a long alphanumeric format of 16 characters, a short alphanumeric format of 8 characters, or a numeric format of 5 characters (MCC/MNC)

- `<AcT>`: Displays the radio access technology, with the following values:
0: GSM
1: GSM compact
3: GSM w/EGPRS
7: E-UTRAN
  - `Values are as follows`: 
  - `0`: GSM
  - `1`: GSM compact
  - `3`: GSM w/EGPRS
  - `7`: E-UTRAN","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CIMI,Query International Mobile Subscriber Identity Code,Execute,AT+CIMI,<CR><LF>OK<CR><LF>,,"AT+CIMI

OK","Obtain the International Mobile Subscriber Identity (IMSI).
Command Syntax",See Example 7,1,7,"- `<IMSI>`: International Mobile Subscriber Identity Code.
This code consists of 15 digits, starting with a 3-digit MCC and a 2-digit MNC, used for authenticating the SIM card.","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CGSN,Get Communication Module IMEI Number,Execute,AT+CGSN,<CR><LF>OK<CR><LF>,,"AT+CGSN

OK","Obtain the product serial number of the module, which is the IMEI number (International Mobile Equipment Identity).
Command Syntax",See Example 8,1,8,- `<IMEI>`: Product serial number of the module.,"{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+GSN,Get Communication Module IMEI Number,Execute,AT+GSN,<CR><LF>OK<CR><LF>,,"AT+GSN

OK","Obtain the product serial number of the module, which is the IMEI number (International Mobile Equipment Identity).
Command Syntax",See Example 9,1,9,"- `<IMEI>`: Product serial number of the module, consisting of 15 digits.","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CCID,Get SIM Card Identifier,Execute,AT+CCID,<CR><LF>OK<CR><LF>,,"AT+CCID

OK","Get the ICCID of the SIM card.
Command Format",See Example 10,1,10,"- `<ICCID>`: Integrated circuit card identity, which is the identification code of the inserted card.
ICCID is 20 digits.
  - `Integrate`: circuit card identity","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CGMM,Query Module Model,Execute,AT+CGMM,<CR><LF>OK<CR><LF>,,"AT+CGMM

OK","Query the module model.
Command Format",See Example 11,1,11,- `<model>`: Module model,"{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+GMM,Query Module Model,Execute,AT+GMM,<CR><LF>OK<CR><LF>,,"AT+GMM

OK","Query the module model.
Command Format",See Example 12,1,12,- `<model>`: Module model.,"{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+IPR,Set Module Baud Rate,Execute,AT+IPR,<CR><LF>OK<CR><LF>,,"AT+IPR

OK","Set the module baud rate, saved by default when powered off.
If the baud rate query returns 0, it indicates that the module baud rate is adaptive. The default is adaptive baud rate (Note: adaptive baud rate does not exceed 115200).
Command Format",Example 13,1,13,"- `<baud rate>`: Baud rate
(0,1200,2400,4800,9600,14400,19200,28800,38400,57600,115200,256000,512000,921600)","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CFUN,Set Module Function,Execute,AT+CFUN,<CR><LF>OK<CR><LF>,,"AT+CFUN

OK","Select the module's function by setting <fun>. <fun> only supports certain values.
This parameter is not saved when powered off.
Command Format",Example 14,1,14,"- `<fun>`: 0: Minimum function (turn off radio and SIM power)
1: Full function (default)
4: Turn off the module's RF transmission and reception circuits (flight mode)
9: Upgrade function (can upgrade version via upper computer tool)
  - `0`: Minimum function (turn off radio and SIM power)
  - `1`: Full function (default)
  - `4`: Turn off the module's RF transmission and reception circuits (flight mode)
  - `9`: Upgrade function (can upgrade version via upper computer tool)

- `<rst>`: 0: do not reset the MT before setting it to <fun> power level
1: reset the MT before setting it to <fun> power level
  - `0`: do not reset the MT before setting it to <fun> power level
  - `1`: reset the MT before setting it to <fun> power level","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CMUX,Serial Port Multiplexing Command,Execute,AT+CMUX,<CR><LF>OK<CR><LF>,,"AT+CMUX

OK","Enable the communication module's serial port multiplexing function.
Based on a physical communication serial port, virtualize two or even more serial ports through a standardized protocol, generally virtualizing three serial ports, one for external protocol stack dial-up internet access, and the other two for sending and receiving AT commands. It is recommended to use AT+CMUX=0 to enable the serial port multiplexing function.
Command Format",Example 15,1,15,"- `<mode>`: Integer type, mode under MUX open state, at least basic mode needs to be supported in this specification
0: Basic mode (default value)
1: Enhanced mode (currently not supported)
  - `0`: Basic mode (default value)
  - `1`: Enhanced mode (currently not supported)

- `<subset>`: Integer type, frame format subset
0: UIH frames used only (default value)
1: UI frames used only (currently not supported)
2: Currently not supported
  - `0`: UIH frames used only (default value)
  - `1`: UI frames used only (currently not supported)
  - `2`: Currently not supported

- `<port_speed>`: Integer type, serial port speed
1: 9600bit/s
2: 19200bit/s
3: 38400bit/s
4: 57600bit/s
5: 115200bit/s (default value)
6: 230400bit/s
7: Currently not supported
8: Currently not supported
  - `1`: 9600bit/s
  - `2`: 19200bit/s
  - `3`: 38400bit/s
  - `4`: 57600bit/s
  - `5`: 115200bit/s (default value)
  - `6`: 230400bit/s
  - `7`: Currently not supported
  - `8`: Currently not supported

- `<N1>`: Integer type, maximum frame length, 1~32768; currently only supports the setting range of 1~2048
Default value in basic mode is 31
Default value in enhanced mode is 64

- `<T1>`: Integer type, receive confirmation timer, 1~255, 1 represents 10ms, default value is 10 (100ms)

- `<N2>`: Integer type, maximum reconnection times, 0~100, default value is 3, currently only supports 0~5

- `<T2>`: Integer type, multiplex control channel response timer, 2~255, 2 represents 20ms, default value is 30 (300ms)

- `<T3>`: Integer type, wake-up response timer, 1~255, 1 represents 1s, default value is 10 (10s)
(Currently does not support this parameter, returns 0 value when reading the command)

- `<k>`: Integer type, window size, 1~7, default value is 2, used to support error recovery in enhanced mode.
(Currently does not support this parameter, returns 0 value when reading the command)","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CCLK,Clock Management,Execute,AT+CCLK,<CR><LF>OK<CR><LF>,,"AT+CCLK

OK","Set and query the module's real-time clock.
The set time takes effect immediately, is saved during power off, and the default clock is in the 0 timezone, using 1/4 timezone.
Command Format",Example 16,1,16,"- `<time>`: String, format is “yy/MM/dd,hh:mm:ss[TZ]”, indicating year, month, day, hour, minute, second
  - `Format is`: “yy/MM/dd
  - `hh`: mm:ss[TZ]”

- `TZ`: A 2-digit number representing the time difference between local time and GMT.
This information is optional and will only be displayed if supported by the network. It will not be displayed when local time is GMT.","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CPIN,Input PIN Code,Execute,AT+CPIN,<CR><LF>OK<CR><LF>,,"AT+CPIN

OK","Query the PIN status and input the PIN code.
To input the PIN code, the current SIM card must be locked (AT+CLCK=""SC"",1,""1234"") and the module must be restarted to input the PIN code. After three incorrect PIN entries, a PUK code will be required to unlock.
Command Format",Example 17,1,17,"- `<pin>, <newpin>`: String type

- `<code>`: READY: No password required
NO SIM: Card not detected
SIM PIN: PIN code required
SIM PUK: PUK code required
SIM PIN2: PIN2 code required
SIM PUK2: PUK2 code required
  - `READY`: No password required
  - `NO SIM`: Card not detected
  - `SIM PIN`: PIN code required
  - `SIM PUK`: PUK code required
  - `SIM PIN2`: PIN2 code required
  - `SIM PUK2`: PUK2 code required","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CLCK,PIN Enable and Query Function Command,Execute,AT+CLCK,<CR><LF>OK<CR><LF>,,"AT+CLCK

OK","Lock, unlock, and query MT and network devices. Set this parameter, and it will take effect after restarting the module.
Command Format",Example 18,1,18,"- `<fac>`: Must be enclosed in double quotes """"
""OI"": Outgoing international calls
""SC"": SIM card
""AO"": Outgoing calls
""OX"": All outgoing international calls except local
""FD"": SIM card fixed dialing space
  - `""OI""`: Outgoing international calls
  - `""SC""`: SIM card
  - `""AO""`: Outgoing calls
  - `""OX""`: All outgoing international calls except local
  - `""FD""`: SIM card fixed dialing space

- `<mode>`: 0: Unlock
1: Lock
2: Query status
  - `0`: Unlock
  - `1`: Lock
  - `2`: Query status

- `<status>`: 0: not active
1: active
  - `0`: not active
  - `1`: active

- `<passwd>`: Password or operation code, string type, must be enclosed in double quotes """"

- `<classx>`: 1: Voice service type
2: Data service type
4: Fax service type
8: Short message
16: Synchronous data service
32: Asynchronous data service
64: Dedicated packet access
128: Dedicated data packet dismantler access
  - `1`: Voice service type
  - `2`: Data service type
  - `4`: Fax service type
  - `8`: Short message
  - `16`: Synchronous data service
  - `32`: Asynchronous data service
  - `64`: Dedicated packet access
  - `128`: Dedicated data packet dismantler access","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CPWD,Change Password Command,Execute,AT+CPWD,<CR><LF>OK<CR><LF>,,"AT+CPWD

OK","Change the password for the module lock function.
To change the PIN code, the SIM card must be locked first (AT+CLCK=""SC"",1,""1234"").
Command Format",Example 19,1,19,"- `<fac>`: must be enclosed in double quotes """"
""P2"": SIM PIN2
""SC"": SIM card
  - `""P2""`: SIM PIN2
  - `""SC""`: SIM card

- `<oldpwd>`: must be enclosed in double quotes """", old password or operation code, string type

- `<newpwd>`: must be enclosed in double quotes """", new password or operation code, string type","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CGDCONT,Set PDP Format,Execute,AT+CGDCONT,<CR><LF>OK<CR><LF>,,"AT+CGDCONT

OK","Set the PDP (Packet Data Protocol) format for GPRS. The maximum length allowed for APN is 50.
Command Format",Example 20,1,20,"- `<cid>`: (PDP Context Identifier) a numeric parameter that specifies a PDP context definition, this parameter is local to the TE-MT interface and is applied to other PDP context-related commands, allowed values can be queried using the query command (minimum value is 1).
  - `(PDP`: Context Identifier) a numeric parameter
  - `this parameter is local to the TE`: MT interface and is applied to other PDP context-related commands

- `<PDP_type>`: (Packet Data Protocol type) string parameter used to specify the type of packet data protocol
""IP"" network protocol (Internet Protocol) (IETFSTD 5)
  - `(Packet`: Data Protocol type) string parameter
  - `""IP"" network protocol (Internet`: Protocol) (IETFSTD 5)

- `<APN>`: (Access Point Name) in string form, is a logical name used to select GGSN or external packet data networks.
  - `(Access`: Point Name) in string form

- `<PDP_address>`: in string form, used to distinguish MT in the address space.
If this parameter is not provided, the value will be provided by TE during the PDP startup process.
If TE fails to provide it, a dynamic address will be requested, even if an address was allocated during the PDP startup process, it will still return empty when querying with this command.

- `<d_comp>`: numeric parameter used to control PDP data compression (only applicable to SNDCP)
0 - off (default value)
  - `0`: off (default value)

- `<h_comp>`: numeric parameter used to control PDP header compression 0 - off (default value)
  - `numeric parameter used to control PDP header compression 0`: off (default value)

- `<pd1>, … <pdN>`: 0 to N, string type, related to the meaning of <PDP_type>","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+XGAUTH,User Authentication,Execute,AT+XGAUTH,<CR><LF>OK<CR><LF>,,"AT+XGAUTH

OK","PDP authentication.
This command should be placed after the AT+CGDCONT command. Currently, there is a growing demand for user identity authentication in various places within private networks, using the internal protocol stack, this command needs to be used, so please add this command in the code flow.
The default username and password for Unicom cards are ""card"" and ""card"".
<cid> corresponds to <cid> in +CGDCONT.
The maximum string length allowed for <name> and <pwd> is 50.
Command Format",Example 21,1,21,"- `<cid>`: (PDP Context Identifier) a numeric parameter that specifies a PDP context definition
<cid> corresponds to <cid> in +CGDCONT.
  - `(PDP`: Context Identifier) a numeric parameter

- `<auth>`: authentication type, default is 1
0: NONE
1: PAP
2: CHAP
When the authentication type is not NONE, <name> and <pwd> parameters must be included
  - `0`: NONE
  - `1`: PAP
  - `2`: CHAP

- `<name>`: username

- `<pwd>`: password","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CGATT,Set GPRS Attach and Detach,Execute,AT+CGATT,<CR><LF>OK<CR><LF>,,"AT+CGATT

OK","This command is used to query and set GPRS attach and detach. It does not persist after power off.
By default, the module actively performs GPRS attach.
Before establishing a PPP connection, ensure that GPRS is in the attached state. Add the query command AT+CGATT?:
If the return value is 1, you can directly proceed with the PPP connection; if the return value is 0, manual attachment is required, i.e., AT+CGATT=1.
Command Format",Example 22,1,22,"- `<state>`: Value range (0,1)
0: Indicates detach
1: Indicates attach
  - `0`: Indicates detach
  - `1`: Indicates attach","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,ATE1,/ATE0: Turn On & Off Echo,Execute,ATE1,<CR><LF>OK<CR><LF>,,"ATE1

OK","Turn on (or off) the module's AT command echo function.
The module's default echo function is in the on state.
This setting does not persist after power off.
Command Format",Example 23,1,23,"- `<value>`: Echo switch
0 Turn off echo (default)
1 Turn on echo
  - `0`: Turn off echo (default)
  - `1`: Turn on echo","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,ATD,*99#: GPRS,Execute,ATD,<CR><LF>OK<CR><LF>,,"ATD

OK","Use an external protocol stack to perform GPRS dialing connection.
Before dialing, ensure that CREG has registered successfully and that the APN is set.
Command Format",Example 24,0,24,,"{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
